,ID,Accident Date,Accident Time,Intersection ID,Roadway,Intersection,RIMS ID,From Street,Street,Street.1,To Street,01 Accident Location,02 Impact Location,03 Thru Lane Number,04 Environmental Condition,05 Environmental Condition,06 Light,07 Traffic Control,08 Traffic Control Condition,15 Road Surface Condition,16 Road Surface Condition,17 Road Alignment,18 Road Alignment,21 Vehicle Type,22 Vehicle Type,33 Apparent Driver Action,34 Apparent Driver Action,35 Driver Condition,36 Driver Condition,37 Pedestrian Condition,38 Pedestrian Condition,39 Pedestrian Action,40 Pedestrian Action,41 Road Jurisdiction,42 Classification of Accident,43 Initial Direction of Travel,44 Initial Direction of Travel,45 Initial Impact Type,46 Vehicle Manoeuver,47 Vehicle Manoeuver,In Vehicle Injuries,Total Fatalities,Total Injuries,Pedestrian Injuries,Total Vehicles Involved,Cyclist Injuries,INTERSECT,coordinates
31,17-29381,2017-11-21, 10:30:00 PM,,,,33904,MEGAN'S ST  (EAST),WISE ST,WISE ST,MEGAN'S ST  (WEST),4.0,10.0,1.0,1.0,0.0,8.0,10.0,,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,1.0,,0.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,6.0,9.0,11.0,0.0,0.0,0.0,0.0,2,0.0,"MEGAN'S ST  (EAST) @ WISE ST, Kingston, Ontario","[44.2598243, -76.5950546]"
32,18-39842,2018-10-20, 1:21:00 PM,,,,49903,CUMMINS RD,WILTON RD,WILTON RD,NORTHERLY 480M TO CITY LIMITS,4.0,2.0,1.0,1.0,0.0,1.0,10.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,3.0,1.0,10.0,11.0,0.0,11.0,0.0,3,0.0,"CUMMINS RD @ WILTON RD, Kingston, Ontario","[44.3485999, -76.7016105]"
33,17-21350,2017-08-07, 1:37:00 PM,908613,COMPTON STREET,Wilson Street,,,,WILSON ST,,2.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,14.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,6.0,5.0,11.0,0.0,0.0,0.0,0.0,2,0.0,"COMPTON STREET @ Wilson Street, Kingston, Ontario","[44.2649654, -76.48718199999999]"
34,17-6934,2017-03-14, 9:20:00 AM,,,,8610,DRENNAN ST.,WILSON ST,WILSON ST,DRENNAN ST,1.0,2.0,1.0,3.0,0.0,1.0,1.0,0.0,3.0,3.0,1.0,1.0,1.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,4.0,11.0,1.0,1.0,0.0,1.0,0.0,2,0.0,"DRENNAN ST. @ WILSON ST, Kingston, Ontario","[44.2608258, -76.4863256]"
35,17-42933,2017-12-22, 5:00:00 PM,,,,4405,UNION ST,WILLINGDON AVE,WILLINGDON AVE,HILL ST,4.0,11.0,,4.0,0.0,7.0,10.0,0.0,5.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,1.0,6.0,9.0,11.0,0.0,0.0,0.0,0.0,2,0.0,"UNION ST @ WILLINGDON AVE, Kingston, Ontario","[44.2252435, -76.5074748]"
36,17-10160,2017-04-28, 1:10:00 PM,,,,4405,UNION ST,WILLINGDON AVE,WILLINGDON AVE,HILL ST,4.0,2.0,1.0,1.0,0.0,1.0,10.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,4.0,5.0,4.0,4.0,0.0,0.0,0.0,0.0,2,,"UNION ST @ WILLINGDON AVE, Kingston, Ontario","[44.2252435, -76.5074748]"
37,16-11186,2016-07-05, 3:00:00 PM,,,,4407,EARL ST,WILLINGDON AVE,WILLINGDON AVE,JOHNSON ST,1.0,11.0,1.0,1.0,0.0,1.0,10.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,6.0,11.0,0.0,0.0,0.0,0.0,0.0,2,,"EARL ST @ WILLINGDON AVE, Kingston, Ontario","[44.2294881, -76.5079102]"
38,17-24869,2017-05-08, 7:32:00 PM,900024,KING STREET EAST,William Street,,,,WILLIAM ST,,3.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,3.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,2,0.0,"KING STREET EAST @ William Street, Kingston, Ontario","[44.22811309999999, -76.48329199999999]"
39,18-107,2017-12-31, 11:45:00 AM,,,,6556,CLERGY ST E,WILLIAM ST,WILLIAM ST,BARRIE ST,1.0,11.0,1.0,1.0,0.0,1.0,10.0,0.0,3.0,0.0,1.0,0.0,1.0,,,,,,0.0,0.0,0.0,0.0,1.0,3.0,3.0,,6.0,11.0,,0.0,0.0,0.0,0.0,2,0.0,"CLERGY ST E @ WILLIAM ST, Kingston, Ontario","[44.2298853, -76.4897739]"
40,17-17021,2017-06-06, 10:30:00 AM,908811,WILEY STREET,Drennan Street,,,,WILEY ST,,2.0,2.0,1.0,2.0,0.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,14.0,28.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,6.0,4.0,11.0,0.0,0.0,0.0,0.0,2,,"WILEY STREET @ Drennan Street, Kingston, Ontario","[44.2605934, -76.4892599]"
